Film_title,Director,Cast,Average_rating,Watches,Film_URL
The Invisible Man,Leigh Whannell,"['Elisabeth Moss', 'Aldis Hodge', 'Storm Reid']",3.43,717738,https://letterboxd.com/film/the-invisible-man-2020/
Ice Age: The Meltdown,Carlos Saldanha,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",3.04,717707,https://letterboxd.com/film/ice-age-the-meltdown/
Dirty Dancing,Emile Ardolino,"['Jennifer Grey', 'Patrick Swayze', 'Jerry Orbach']",3.64,717568,https://letterboxd.com/film/dirty-dancing/
Perfect Blue,Satoshi Kon,"['Junko Iwao', 'Rica Matsumoto', 'Shiho Niiyama']",4.4,717205,https://letterboxd.com/film/perfect-blue/
American History X,Tony Kaye,"['Edward Norton', 'Edward Furlong', '""Beverly DAngelo""']",4.12,714186,https://letterboxd.com/film/american-history-x/
Casablanca,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",4.27,713317,https://letterboxd.com/film/casablanca/
Mission: Impossible,Brian De Palma,"['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']",3.59,713061,https://letterboxd.com/film/mission-impossible/
Licorice Pizza,Paul Thomas Anderson,"['Alana Haim', 'Cooper Hoffman', 'Sean Penn']",3.59,712404,https://letterboxd.com/film/licorice-pizza/
The Mummy,Stephen Sommers,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah']",3.51,712616,https://letterboxd.com/film/the-mummy-1999/
Shrek Forever After,Mike Mitchell,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",2.83,712732,https://letterboxd.com/film/shrek-forever-after/
The Boy in the Striped Pyjamas,Mark Herman,"['Asa Butterfield', 'Jack Scanlon', 'Vera Farmiga']",3.62,713037,https://letterboxd.com/film/the-boy-in-the-striped-pyjamas/
Ralph Breaks the Internet,"Rich Moore, Phil Johnston","['John C. Reilly', 'Sarah Silverman', 'Gal Gadot']",2.91,711906,https://letterboxd.com/film/ralph-breaks-the-internet/
The Lego Batman Movie,Chris McKay,"['Will Arnett', 'Zach Galifianakis', 'Michael Cera']",3.8,712027,https://letterboxd.com/film/the-lego-batman-movie/
Palm Springs,Max Barbakow,"['Andy Samberg', 'Cristin Milioti', 'J.K. Simmons']",3.77,711172,https://letterboxd.com/film/palm-springs-2020/
Manchester by the Sea,Kenneth Lonergan,"['Casey Affleck', 'Lucas Hedges', 'Michelle Williams']",4.1,709490,https://letterboxd.com/film/manchester-by-the-sea/
Babylon,Damien Chazelle,"['Brad Pitt', 'Margot Robbie', 'Diego Calva']",3.82,707799,https://letterboxd.com/film/babylon-2022/
Triangle of Sadness,Ruben Östlund,"['Harris Dickinson', 'Charlbi Dean', 'Woody Harrelson']",3.69,707113,https://letterboxd.com/film/triangle-of-sadness/
Bridesmaids,Paul Feig,"['Kristen Wiig', 'Maya Rudolph', 'Rose Byrne']",3.43,706299,https://letterboxd.com/film/bridesmaids/
Boyhood,Richard Linklater,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke']",3.83,705622,https://letterboxd.com/film/boyhood/
Scream,"Matt Bettinelli-Olpin, Tyler Gillett","['Melissa Barrera', 'Jenna Ortega', 'Mason Gooding']",3.21,706121,https://letterboxd.com/film/scream-2022/
The Proposal,Anne Fletcher,"['Sandra Bullock', 'Ryan Reynolds', 'Malin Åkerman']",3.31,706171,https://letterboxd.com/film/the-proposal-2009/
Ant-Man and the Wasp: Quantumania,Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors']",2.28,705060,https://letterboxd.com/film/ant-man-and-the-wasp-quantumania/
Hotel Transylvania,Genndy Tartakovsky,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez']",3.22,701059,https://letterboxd.com/film/hotel-transylvania/
The Rocky Horror Picture Show,Jim Sharman,"['Tim Curry', 'Susan Sarandon', 'Barry Bostwick']",4.0,700225,https://letterboxd.com/film/the-rocky-horror-picture-show/
10 Cloverfield Lane,Dan Trachtenberg,"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.']",3.57,699033,https://letterboxd.com/film/10-cloverfield-lane/
Mission: Impossible – Fallout,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames']",3.96,697717,https://letterboxd.com/film/mission-impossible-fallout/
The Killing of a Sacred Deer,Yorgos Lanthimos,"['Colin Farrell', 'Nicole Kidman', 'Barry Keoghan']",3.74,696935,https://letterboxd.com/film/the-killing-of-a-sacred-deer/
Children of Men,Alfonso Cuarón,"['Clive Owen', 'Clare-Hope Ashitey', 'Chiwetel Ejiofor']",4.3,696100,https://letterboxd.com/film/children-of-men/
A Nightmare on Elm Street,Wes Craven,"['Heather Langenkamp', 'John Saxon', 'Ronee Blakley']",3.73,695169,https://letterboxd.com/film/a-nightmare-on-elm-street/
Scary Movie,Keenen Ivory Wayans,"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans']",3.04,691894,https://letterboxd.com/film/scary-movie-2000/
All Quiet on the Western Front,Edward Berger,"['Felix Kammerer', 'Albrecht Schuch', 'Aaron Hilmer']",3.99,690620,https://letterboxd.com/film/all-quiet-on-the-western-front-2022/
The Purge,James DeMonaco,"['Ethan Hawke', 'Lena Headey', 'Max Burkholder']",2.69,689836,https://letterboxd.com/film/the-purge/
The Texas Chain Saw Massacre,Tobe Hooper,"['Marilyn Burns', 'Allen Danziger', 'Paul A. Partain']",3.85,688760,https://letterboxd.com/film/the-texas-chain-saw-massacre/
Smile,Parker Finn,"['Sosie Bacon', 'Kyle Gallner', 'Caitlin Stasey']",2.83,689813,https://letterboxd.com/film/smile-2022/
Spectre,Sam Mendes,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",3.14,687379,https://letterboxd.com/film/spectre-2015/
This Is the End,"Seth Rogen, Evan Goldberg","['James Franco', 'Jonah Hill', 'Seth Rogen']",3.15,686708,https://letterboxd.com/film/this-is-the-end/
Ready or Not,"Matt Bettinelli-Olpin, Tyler Gillett","['Samara Weaving', 'Adam Brody', '""Mark OBrien""']",3.54,685899,https://letterboxd.com/film/ready-or-not-2019/
Batman,Tim Burton,"['Michael Keaton', 'Jack Nicholson', 'Kim Basinger']",3.61,684167,https://letterboxd.com/film/batman-1989/
Anyone But You,Will Gluck,"['Sydney Sweeney', 'Glen Powell', 'Mia Artemis']",3.0,690925,https://letterboxd.com/film/anyone-but-you/
Watchmen,Zack Snyder,"['Malin Åkerman', 'Patrick Wilson', 'Billy Crudup']",3.64,683195,https://letterboxd.com/film/watchmen/
Fantastic Beasts: The Crimes of Grindelwald,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler']",2.55,683195,https://letterboxd.com/film/fantastic-beasts-the-crimes-of-grindelwald/
Monster House,Gil Kenan,"['Mitchel Musso', 'Sam Lerner', 'Spencer Locke']",3.35,682685,https://letterboxd.com/film/monster-house/
Hugo,Martin Scorsese,"['Asa Butterfield', 'Ben Kingsley', 'Chloë Grace Moretz']",3.5,680394,https://letterboxd.com/film/hugo/
Akira,Katsuhiro Otomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama']",4.27,679109,https://letterboxd.com/film/akira/
White Chicks,Keenen Ivory Wayans,"['Shawn Wayans', 'Marlon Wayans', 'Frankie Faison']",3.31,679728,https://letterboxd.com/film/white-chicks/
The Fast and the Furious,Rob Cohen,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez']",3.31,678827,https://letterboxd.com/film/the-fast-and-the-furious-2001/
The Intouchables,"Éric Toledano, Olivier Nakache","['François Cluzet', 'Omar Sy', 'Dominique Henry']",4.12,678366,https://letterboxd.com/film/the-intouchables/
The Girl with the Dragon Tattoo,David Fincher,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer']",3.88,676333,https://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/
Heathers,Michael Lehmann,"['Winona Ryder', 'Christian Slater', 'Shannen Doherty']",3.76,676238,https://letterboxd.com/film/heathers/
The Conjuring 2,James Wan,"['Patrick Wilson', 'Vera Farmiga', 'Madison Wolfe']",3.35,675560,https://letterboxd.com/film/the-conjuring-2/
Chicken Run,"Nick Park, Peter Lord","['Julia Sawalha', 'Mel Gibson', 'Imelda Staunton']",3.58,674573,https://letterboxd.com/film/chicken-run/
Citizen Kane,Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",4.21,673832,https://letterboxd.com/film/citizen-kane/
Aladdin,Guy Ritchie,"['Will Smith', 'Mena Massoud', 'Naomi Scott']",2.94,673749,https://letterboxd.com/film/aladdin-2019/
Chicken Little,Mark Dindal,"['Zach Braff', 'Garry Marshall', 'Don Knotts']",2.74,672860,https://letterboxd.com/film/chicken-little-2005/
Good Time,"Josh Safdie, Benny Safdie","['Robert Pattinson', 'Benny Safdie', 'Buddy Duress']",4.0,672193,https://letterboxd.com/film/good-time/
Venom: Let There Be Carnage,Andy Serkis,"['Tom Hardy', 'Woody Harrelson', 'Michelle Williams']",2.49,672553,https://letterboxd.com/film/venom-let-there-be-carnage/
300,Zack Snyder,"['Gerard Butler', 'Lena Headey', 'Dominic West']",3.34,672121,https://letterboxd.com/film/300/
Alice in Wonderland,"Hamilton Luske, Wilfred Jackson","['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn']",3.74,671817,https://letterboxd.com/film/alice-in-wonderland-1951/
The Boy and the Heron,Hayao Miyazaki,"['Soma Santoki', 'Masaki Suda', 'Ko Shibasaki']",3.96,671663,https://letterboxd.com/film/the-boy-and-the-heron/
Bruce Almighty,Tom Shadyac,"['Jim Carrey', 'Morgan Freeman', 'Jennifer Aniston']",3.19,670209,https://letterboxd.com/film/bruce-almighty/
Minions,"Kyle Balda, Pierre Coffin","['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']",2.73,670512,https://letterboxd.com/film/minions/
Pacific Rim,Guillermo del Toro,"['Charlie Hunnam', 'Rinko Kikuchi', 'Idris Elba']",3.36,669395,https://letterboxd.com/film/pacific-rim/
The Platform,Galder Gaztelu-Urrutia,"['Ivan Massagué', 'Antonia San Juan', 'Zorion Eguileor']",3.26,669023,https://letterboxd.com/film/the-platform/
Happy Feet,George Miller,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy']",2.93,668985,https://letterboxd.com/film/happy-feet/
Sound of Metal,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci']",4.19,668354,https://letterboxd.com/film/sound-of-metal/
Insidious,James Wan,"['Patrick Wilson', 'Rose Byrne', 'Lin Shaye']",3.21,667216,https://letterboxd.com/film/insidious/
"Love, Simon",Greg Berlanti,"['Nick Robinson', 'Jennifer Garner', 'Josh Duhamel']",3.28,665912,https://letterboxd.com/film/love-simon/
Dawn of the Planet of the Apes,Matt Reeves,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']",3.74,665035,https://letterboxd.com/film/dawn-of-the-planet-of-the-apes/
What We Do in the Shadows,"Taika Waititi, Jemaine Clement","['Taika Waititi', 'Jemaine Clement', 'Jonny Brugh']",4.11,664208,https://letterboxd.com/film/what-we-do-in-the-shadows/
Loki,Kate Herron,"['Tom Hiddleston', 'Sophia di Martino', 'Wunmi Mosaku']",3.77,662022,https://letterboxd.com/film/loki-2021/
The Lost World: Jurassic Park,Steven Spielberg,"['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite']",3.08,661194,https://letterboxd.com/film/the-lost-world-jurassic-park/
Madagascar: Escape 2 Africa,"Eric Darnell, Tom McGrath","['Ben Stiller', 'Chris Rock', 'David Schwimmer']",3.08,660854,https://letterboxd.com/film/madagascar-escape-2-africa/
X2,Bryan Singer,"['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen']",3.42,660140,https://letterboxd.com/film/x2/
Hidden Figures,Theodore Melfi,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe']",3.83,658852,https://letterboxd.com/film/hidden-figures/
Me Before You,Thea Sharrock,"['Emilia Clarke', 'Sam Claflin', 'Janet McTeer']",3.32,658011,https://letterboxd.com/film/me-before-you/
Space Jam,Joe Pytka,"['Michael Jordan', 'Wayne Knight', 'Theresa Randle']",3.23,657005,https://letterboxd.com/film/space-jam/
Moneyball,Bennett Miller,"['Brad Pitt', 'Jonah Hill', 'Philip Seymour Hoffman']",3.89,656968,https://letterboxd.com/film/moneyball/
The Hangover Part II,Todd Phillips,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis']",2.88,655432,https://letterboxd.com/film/the-hangover-part-ii/
Into the Wild,Sean Penn,"['Emile Hirsch', 'Marcia Gay Harden', 'William Hurt']",3.79,655024,https://letterboxd.com/film/into-the-wild/
Spotlight,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']",4.08,654429,https://letterboxd.com/film/spotlight/
Priscilla,Sofia Coppola,"['Cailee Spaeny', 'Jacob Elordi', 'Ari Cohen']",3.58,656912,https://letterboxd.com/film/priscilla/
Pirates of the Caribbean: Dead Men Tell No Tales,"Joachim Rønning, Espen Sandberg","['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush']",2.61,652917,https://letterboxd.com/film/pirates-of-the-caribbean-dead-men-tell-no-tales/
Napoleon Dynamite,Jared Hess,"['Jon Heder', 'Efren Ramirez', 'Tina Majorino']",3.68,650547,https://letterboxd.com/film/napoleon-dynamite/
Fantastic Four,Tim Story,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans']",2.43,648903,https://letterboxd.com/film/fantastic-four-2005/
Before Sunset,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']",4.35,648989,https://letterboxd.com/film/before-sunset/
Gremlins,Joe Dante,"['Zach Galligan', 'Phoebe Cates', 'Hoyt Axton']",3.64,648088,https://letterboxd.com/film/gremlins/
The Help,Tate Taylor,"['Emma Stone', 'Viola Davis', 'Octavia Spencer']",3.83,645505,https://letterboxd.com/film/the-help/
A Beautiful Mind,Ron Howard,"['Russell Crowe', 'Jennifer Connelly', 'Ed Harris']",3.82,644886,https://letterboxd.com/film/a-beautiful-mind/
Onward,Dan Scanlon,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus']",3.4,644052,https://letterboxd.com/film/onward-2020/
Kong: Skull Island,Jordan Vogt-Roberts,"['Tom Hiddleston', 'Samuel L. Jackson', 'John Goodman']",3.06,643407,https://letterboxd.com/film/kong-skull-island/
The Goonies,Richard Donner,"['Sean Astin', 'Josh Brolin', 'Jeff Cohen']",3.78,642060,https://letterboxd.com/film/the-goonies/
The Wolverine,James Mangold,"['Hugh Jackman', 'Tao Okamoto', 'Rila Fukushima']",2.95,640882,https://letterboxd.com/film/the-wolverine/
In the Mood for Love,Wong Kar-wai,"['Tony Leung Chiu-wai', 'Maggie Cheung', 'Rebecca Pan']",4.4,640649,https://letterboxd.com/film/in-the-mood-for-love/
Tropic Thunder,Ben Stiller,"['Ben Stiller', 'Robert Downey Jr.', 'Jack Black']",3.57,640495,https://letterboxd.com/film/tropic-thunder/
Grave of the Fireflies,Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Yoshiko Shinohara']",4.45,636359,https://letterboxd.com/film/grave-of-the-fireflies/
The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",3.04,635225,https://letterboxd.com/film/the-matrix-revolutions/
Rocketman,Dexter Fletcher,"['Taron Egerton', 'Jamie Bell', 'Richard Madden']",3.68,634261,https://letterboxd.com/film/rocketman-2019/
Dallas Buyers Club,Jean-Marc Vallée,"['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto']",3.96,633877,https://letterboxd.com/film/dallas-buyers-club/
The Secret Life of Walter Mitty,Ben Stiller,"['Ben Stiller', 'Kristen Wiig', 'Sean Penn']",3.73,634065,https://letterboxd.com/film/the-secret-life-of-walter-mitty-2013/
Creed,Ryan Coogler,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson']",3.81,633354,https://letterboxd.com/film/creed/
Bambi,David Hand,"['Donnie Dunagan', 'Peter Behn', 'Stan Alexander']",3.5,632273,https://letterboxd.com/film/bambi/
The Killer,David Fincher,"['Michael Fassbender', 'Tilda Swinton', 'Charles Parnell']",3.42,630843,https://letterboxd.com/film/the-killer-2023/
The Holiday,Nancy Meyers,"['Cameron Diaz', 'Kate Winslet', 'Jude Law']",3.47,630066,https://letterboxd.com/film/the-holiday/
High School Musical 2,Kenny Ortega,"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale']",3.17,628486,https://letterboxd.com/film/high-school-musical-2/
The SpongeBob SquarePants Movie,Stephen Hillenburg,"['Tom Kenny', 'Clancy Brown', 'Rodger Bumpass']",3.85,628756,https://letterboxd.com/film/the-spongebob-squarepants-movie/
Mamma Mia! Here We Go Again,Ol Parker,"['Lily James', 'Amanda Seyfried', 'Meryl Streep']",3.42,626746,https://letterboxd.com/film/mamma-mia-here-we-go-again/
Anchorman: The Legend of Ron Burgundy,Adam McKay,"['Will Ferrell', 'Christina Applegate', 'Paul Rudd']",3.49,624023,https://letterboxd.com/film/anchorman-the-legend-of-ron-burgundy/
Snatch,Guy Ritchie,"['Brad Pitt', 'Jason Statham', 'Alan Ford']",4.01,624386,https://letterboxd.com/film/snatch/
The Sound of Music,Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']",4.1,623565,https://letterboxd.com/film/the-sound-of-music/
mid90s,Jonah Hill,"['Sunny Suljic', 'Katherine Waterston', 'Lucas Hedges']",3.76,623509,https://letterboxd.com/film/mid90s/
Elemental,Peter Sohn,"['Leah Lewis', 'Mamoudou Athie', 'Ronnie del Carmen']",3.3,623823,https://letterboxd.com/film/elemental-2023/
El Camino: A Breaking Bad Movie,Vince Gilligan,"['Aaron Paul', 'Jesse Plemons', 'Charles Baker']",3.55,623101,https://letterboxd.com/film/el-camino-a-breaking-bad-movie/
Grown Ups,Dennis Dugan,"['Adam Sandler', 'Kevin James', 'Chris Rock']",2.93,623100,https://letterboxd.com/film/grown-ups/
Robots,Chris Wedge,"['Ewan McGregor', 'Robin Williams', 'Halle Berry']",3.22,621745,https://letterboxd.com/film/robots/
Now You See Me 2,Jon M. Chu,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']",2.92,621240,https://letterboxd.com/film/now-you-see-me-2/
The King's Speech,Tom Hooper,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter']",3.78,620783,https://letterboxd.com/film/the-kings-speech/
Sausage Party,"Conrad Vernon, Greg Tiernan","['Seth Rogen', 'Kristen Wiig', 'Jonah Hill']",2.28,620012,https://letterboxd.com/film/sausage-party/
X-Men: The Last Stand,Brett Ratner,"['Hugh Jackman', 'Ian McKellen', 'Patrick Stewart']",2.59,618737,https://letterboxd.com/film/x-men-the-last-stand/
X-Men Origins: Wolverine,Gavin Hood,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston']",2.34,618720,https://letterboxd.com/film/x-men-origins-wolverine/
Wonder Woman 1984,Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Kristen Wiig']",2.09,617485,https://letterboxd.com/film/wonder-woman-1984/
Hocus Pocus,Kenny Ortega,"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy']",3.44,614974,https://letterboxd.com/film/hocus-pocus/
Pinocchio,"Ben Sharpsteen, Hamilton Luske","['Dickie Jones', 'Cliff Edwards', 'Christian Rub']",3.49,614916,https://letterboxd.com/film/pinocchio/
Scream 2,Wes Craven,"['Neve Campbell', 'Courteney Cox', 'David Arquette']",3.26,614877,https://letterboxd.com/film/scream-2/
District 9,Neill Blomkamp,"['Sharlto Copley', 'Jason Cope', 'Nathalie Boltt']",3.8,613615,https://letterboxd.com/film/district-9/
M3GAN,Gerard Johnstone,"['Allison Williams', 'Violet McGraw', 'Ronny Chieng']",2.82,613596,https://letterboxd.com/film/m3gan/
The Worst Person in the World,Joachim Trier,"['Renate Reinsve', 'Anders Danielsen Lie', 'Herbert Nordrum']",4.13,610157,https://letterboxd.com/film/the-worst-person-in-the-world/
It's a Wonderful Life,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']",4.39,609279,https://letterboxd.com/film/its-a-wonderful-life/
Pokémon Detective Pikachu,Rob Letterman,"['Ryan Reynolds', 'Justice Smith', 'Kathryn Newton']",3.04,609071,https://letterboxd.com/film/pokemon-detective-pikachu/
Rio,Carlos Saldanha,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann']",3.26,607562,https://letterboxd.com/film/rio-2011/
Les Misérables,Tom Hooper,"['Hugh Jackman', 'Russell Crowe', 'Anne Hathaway']",3.57,606529,https://letterboxd.com/film/les-miserables-2012/
Passengers,Morten Tyldum,"['Chris Pratt', 'Jennifer Lawrence', 'Michael Sheen']",2.79,603799,https://letterboxd.com/film/passengers-2016/
Scream VI,"Matt Bettinelli-Olpin, Tyler Gillett","['Melissa Barrera', 'Jenna Ortega', 'Jasmin Savoy Brown']",3.39,602540,https://letterboxd.com/film/scream-vi/
Big Fish,Tim Burton,"['Ewan McGregor', 'Albert Finney', 'Billy Crudup']",3.88,601933,https://letterboxd.com/film/big-fish/
Bones and All,Luca Guadagnino,"['Taylor Russell', 'Timothée Chalamet', 'Mark Rylance']",3.65,600825,https://letterboxd.com/film/bones-and-all/
The Handmaiden,Park Chan-wook,"['Kim Min-hee', 'Kim Tae-ri', 'Ha Jung-woo']",4.41,598626,https://letterboxd.com/film/the-handmaiden/
Looper,Rian Johnson,"['Joseph Gordon-Levitt', 'Bruce Willis', 'Emily Blunt']",3.56,597852,https://letterboxd.com/film/looper/
Step Brothers,Adam McKay,"['Will Ferrell', 'John C. Reilly', 'Mary Steenburgen']",3.43,598090,https://letterboxd.com/film/step-brothers/
Nocturnal Animals,Tom Ford,"['Amy Adams', 'Jake Gyllenhaal', 'Michael Shannon']",3.73,597360,https://letterboxd.com/film/nocturnal-animals/
Mrs. Doubtfire,Chris Columbus,"['Robin Williams', 'Sally Field', 'Lisa Jakub']",3.61,597331,https://letterboxd.com/film/mrs-doubtfire/
Guillermo del Toro's Pinocchio,"Guillermo del Toro, Mark Gustafson","['Gregory Mann', 'Ewan McGregor', 'David Bradley']",3.98,596084,https://letterboxd.com/film/guillermo-del-toros-pinocchio/
28 Days Later,Danny Boyle,"['Cillian Murphy', 'Naomie Harris', 'Brendan Gleeson']",3.76,593655,https://letterboxd.com/film/28-days-later/
Prometheus,Ridley Scott,"['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron']",3.24,593109,https://letterboxd.com/film/prometheus/
Men in Black II,Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones', 'Lara Flynn Boyle']",2.93,592937,https://letterboxd.com/film/men-in-black-ii/
"The Good, the Bad and the Ugly",Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",4.49,591930,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
Stuart Little,Rob Minkoff,"['Michael J. Fox', 'Chazz Palminteri', 'Nathan Lane']",2.81,591088,https://letterboxd.com/film/stuart-little/
Friends with Benefits,Will Gluck,"['Justin Timberlake', 'Mila Kunis', 'Jenna Elfman']",2.89,590367,https://letterboxd.com/film/friends-with-benefits/
Cinderella,"Hamilton Luske, Wilfred Jackson","['Ilene Woods', 'Eleanor Audley', 'Verna Felton']",3.48,590418,https://letterboxd.com/film/cinderella/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",4.31,589752,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
She's the Man,Andy Fickman,"['Amanda Bynes', 'Channing Tatum', 'Laura Ramsey']",3.32,590103,https://letterboxd.com/film/shes-the-man/
Life Is Beautiful,Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",4.34,586364,https://letterboxd.com/film/life-is-beautiful/
Leave the World Behind,Sam Esmail,"['Julia Roberts', 'Mahershala Ali', 'Ethan Hawke']",2.86,585696,https://letterboxd.com/film/leave-the-world-behind-2023/
Bridget Jones's Diary,Sharon Maguire,"['Renée Zellweger', 'Colin Firth', 'Hugh Grant']",3.41,584422,https://letterboxd.com/film/bridget-joness-diary/
One Hundred and One Dalmatians,"Hamilton Luske, Wolfgang Reitherman","['Rod Taylor', '""J. Pat OMalley""', 'Betty Lou Gerson']",3.63,583919,https://letterboxd.com/film/one-hundred-and-one-dalmatians/
Murder on the Orient Express,Kenneth Branagh,"['Kenneth Branagh', 'Tom Bateman', 'Michelle Pfeiffer']",3.05,582764,https://letterboxd.com/film/murder-on-the-orient-express-2017/
The Terminal,Steven Spielberg,"['Tom Hanks', 'Catherine Zeta-Jones', 'Stanley Tucci']",3.58,581936,https://letterboxd.com/film/the-terminal/
Batman Returns,Tim Burton,"['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer']",3.55,579291,https://letterboxd.com/film/batman-returns/
Airplane!,"Jerry Zucker, Jim Abrahams","['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen']",3.84,578720,https://letterboxd.com/film/airplane/
Godzilla vs. Kong,Adam Wingard,"['Alexander Skarsgård', 'Rebecca Hall', 'Kaylee Hottle']",2.79,575677,https://letterboxd.com/film/godzilla-vs-kong/
In Bruges,Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Ralph Fiennes']",4.11,573183,https://letterboxd.com/film/in-bruges/
King Kong,Peter Jackson,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",3.34,573196,https://letterboxd.com/film/king-kong-2005/
Alvin and the Chipmunks,Tim Hill,"['Jason Lee', 'David Cross', 'Cameron Richardson']",2.52,572397,https://letterboxd.com/film/alvin-and-the-chipmunks/
Almost Famous,Cameron Crowe,"['Billy Crudup', 'Frances McDormand', 'Kate Hudson']",4.03,571550,https://letterboxd.com/film/almost-famous/
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman']",3.49,571061,https://letterboxd.com/film/sweeney-todd-the-demon-barber-of-fleet-street-2007/
Zack Snyder's Justice League,Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",3.41,569979,https://letterboxd.com/film/zack-snyders-justice-league/
Bo Burnham: Inside,Bo Burnham,['Bo Burnham'],4.2,569120,https://letterboxd.com/film/bo-burnham-inside/
La Haine,Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",4.51,567041,https://letterboxd.com/film/la-haine/
TÁR,Todd Field,"['Cate Blanchett', 'Nina Hoss', 'Noémie Merlant']",3.95,566048,https://letterboxd.com/film/tar-2022/
8 Mile,Curtis Hanson,"['Eminem', 'Kim Basinger', 'Mekhi Phifer']",3.56,565422,https://letterboxd.com/film/8-mile/
The Jungle Book,Wolfgang Reitherman,"['Bruce Reitherman', 'Phil Harris', 'Sebastian Cabot']",3.66,565028,https://letterboxd.com/film/the-jungle-book/
Godzilla,Gareth Edwards,"['Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Juliette Binoche']",3.04,564377,https://letterboxd.com/film/godzilla-2014/
2012,Roland Emmerich,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']",2.42,562677,https://letterboxd.com/film/2012/
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario']",2.55,561694,https://letterboxd.com/film/percy-jackson-the-olympians-the-lightning-thief/
