Film_title,Director,Cast,Average_rating,Watches,Film_URL
Harry Potter and the Goblet of Fire,Mike Newell,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",3.8,2157903,https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/
Guardians of the Galaxy Vol. 2,James Gunn,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista']",3.51,2150007,https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/
Captain America: Civil War,"Anthony Russo, Joe Russo","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",3.57,2148950,https://letterboxd.com/film/captain-america-civil-war/
Doctor Strange,Scott Derrickson,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams']",3.44,2132820,https://letterboxd.com/film/doctor-strange-2016/
Jurassic Park,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']",4.11,2118103,https://letterboxd.com/film/jurassic-park/
10 Things I Hate About You,Gil Junger,"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt']",3.98,2091330,https://letterboxd.com/film/10-things-i-hate-about-you/
Harry Potter and the Deathly Hallows: Part 2,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",3.95,2069247,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/
Glass Onion,Rian Johnson,"['Daniel Craig', 'Edward Norton', 'Janelle Monáe']",3.46,2068560,https://letterboxd.com/film/glass-onion/
Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, Justin K. Thompson","['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman']",4.46,2072834,https://letterboxd.com/film/spider-man-across-the-spider-verse/
Spider-Man 2,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",3.88,2064633,https://letterboxd.com/film/spider-man-2/
The Menu,Mark Mylod,"['Anya Taylor-Joy', 'Ralph Fiennes', 'Nicholas Hoult']",3.54,2062836,https://letterboxd.com/film/the-menu-2022/
The Perks of Being a Wallflower,Stephen Chbosky,"['Logan Lerman', 'Emma Watson', 'Ezra Miller']",3.91,2058662,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
Call Me by Your Name,Luca Guadagnino,"['Timothée Chalamet', 'Armie Hammer', 'Michael Stuhlbarg']",3.86,2058750,https://letterboxd.com/film/call-me-by-your-name/
Star Wars: The Force Awakens,J.J. Abrams,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher']",3.32,2035662,https://letterboxd.com/film/star-wars-the-force-awakens/
The Empire Strikes Back,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",4.41,2037089,https://letterboxd.com/film/the-empire-strikes-back/
Don't Look Up,Adam McKay,"['Jennifer Lawrence', 'Leonardo DiCaprio', 'Meryl Streep']",3.01,2037532,https://letterboxd.com/film/dont-look-up-2021/
Arrival,Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker']",4.12,2022744,https://letterboxd.com/film/arrival-2016/
Harry Potter and the Order of the Phoenix,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",3.64,2020094,https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/
Captain America: The Winter Soldier,"Anthony Russo, Joe Russo","['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan']",3.71,2012869,https://letterboxd.com/film/captain-america-the-winter-soldier/
The Shawshank Redemption,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",4.55,2008076,https://letterboxd.com/film/the-shawshank-redemption/
Hereditary,Ari Aster,"['Toni Collette', 'Alex Wolff', 'Gabriel Byrne']",3.97,1994263,https://letterboxd.com/film/hereditary/
Avengers: Age of Ultron,Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",3.09,1987110,https://letterboxd.com/film/avengers-age-of-ultron/
Her,Spike Jonze,"['Joaquin Phoenix', 'Scarlett Johansson', 'Amy Adams']",4.02,1974261,https://letterboxd.com/film/her/
The Godfather,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan']",4.55,1972749,https://letterboxd.com/film/the-godfather/
Little Women,Greta Gerwig,"['Saoirse Ronan', 'Florence Pugh', 'Emma Watson']",4.14,1953601,https://letterboxd.com/film/little-women-2019/
Harry Potter and the Deathly Hallows: Part 1,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",3.68,1941945,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-1/
Harry Potter and the Half-Blood Prince,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",3.66,1934740,https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/
The Dark Knight Rises,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",3.73,1923565,https://letterboxd.com/film/the-dark-knight-rises/
The Breakfast Club,John Hughes,"['Emilio Estevez', 'Judd Nelson', 'Molly Ringwald']",3.76,1916508,https://letterboxd.com/film/the-breakfast-club/
Saltburn,Emerald Fennell,"['Barry Keoghan', 'Jacob Elordi', 'Rosamund Pike']",3.44,1908665,https://letterboxd.com/film/saltburn/
Toy Story 3,Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']",3.99,1899078,https://letterboxd.com/film/toy-story-3/
Soul,Pete Docter,"['Jamie Foxx', 'Tina Fey', 'Graham Norton']",3.94,1899214,https://letterboxd.com/film/soul-2020/
Jojo Rabbit,Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson']",4.03,1888948,https://letterboxd.com/film/jojo-rabbit/
The Lord of the Rings: The Return of the King,Peter Jackson,"['Elijah Wood', 'Sean Astin', 'Viggo Mortensen']",4.5,1887174,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
Shrek 2,"Andrew Adamson, Kelly Asbury","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",4.02,1878157,https://letterboxd.com/film/shrek-2/
Mad Max: Fury Road,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",4.17,1873522,https://letterboxd.com/film/mad-max-fury-road/
A Quiet Place,John Krasinski,"['John Krasinski', 'Emily Blunt', 'Millicent Simmonds']",3.65,1856673,https://letterboxd.com/film/a-quiet-place-2018/
Tangled,"Byron Howard, Nathan Greno","['Mandy Moore', 'Zachary Levi', 'Donna Murphy']",3.92,1861597,https://letterboxd.com/film/tangled-2010/
The Hunger Games: Catching Fire,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",3.79,1858497,https://letterboxd.com/film/the-hunger-games-catching-fire/
Us,Jordan Peele,"['""Lupita Nyongo""', 'Winston Duke', 'Shahadi Wright Joseph']",3.65,1847137,https://letterboxd.com/film/us-2019/
Fantastic Mr. Fox,Wes Anderson,"['George Clooney', 'Meryl Streep', 'Jason Schwartzman']",4.27,1848594,https://letterboxd.com/film/fantastic-mr-fox/
Batman Begins,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Liam Neeson']",3.79,1841511,https://letterboxd.com/film/batman-begins/
The Lord of the Rings: The Two Towers,Peter Jackson,"['Elijah Wood', 'Sean Astin', 'Andy Serkis']",4.39,1841483,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
Toy Story 2,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']",3.93,1838601,https://letterboxd.com/film/toy-story-2/
Charlie and the Chocolate Factory,Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",3.2,1833298,https://letterboxd.com/film/charlie-and-the-chocolate-factory/
Catch Me If You Can,Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",4.03,1815115,https://letterboxd.com/film/catch-me-if-you-can-2002/
Captain America: The First Avenger,Joe Johnston,"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving']",3.26,1808362,https://letterboxd.com/film/captain-america-the-first-avenger/
Dunkirk,Christopher Nolan,"['Fionn Whitehead', 'Tom Hardy', 'Mark Rylance']",3.77,1807627,https://letterboxd.com/film/dunkirk-2017/
Taxi Driver,Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",4.17,1807527,https://letterboxd.com/film/taxi-driver/
Ant-Man,Peyton Reed,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly']",3.23,1803055,https://letterboxd.com/film/ant-man/
Frozen,"Chris Buck, Jennifer Lee","['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']",3.38,1803871,https://letterboxd.com/film/frozen-2013/
Good Will Hunting,Gus Van Sant,"['Matt Damon', 'Robin Williams', 'Ben Affleck']",4.3,1800844,https://letterboxd.com/film/good-will-hunting/
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",3.91,1791275,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/
Coraline,Henry Selick,"['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders']",4.14,1774140,https://letterboxd.com/film/coraline/
Return of the Jedi,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",4.04,1760962,https://letterboxd.com/film/return-of-the-jedi/
Dead Poets Society,Peter Weir,"['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard']",4.25,1756421,https://letterboxd.com/film/dead-poets-society/
Bohemian Rhapsody,Bryan Singer,"['Rami Malek', 'Gwilym Lee', 'Ben Hardy']",3.41,1740041,https://letterboxd.com/film/bohemian-rhapsody/
Zootopia,"Byron Howard, Rich Moore","['Jason Bateman', 'Ginnifer Goodwin', 'Idris Elba']",3.69,1727400,https://letterboxd.com/film/zootopia/
Blade Runner 2049,Denis Villeneuve,"['Ryan Gosling', 'Harrison Ford', 'Sylvia Hoeks']",4.12,1727136,https://letterboxd.com/film/blade-runner-2049/
The Devil Wears Prada,David Frankel,"['Anne Hathaway', 'Meryl Streep', 'Emily Blunt']",3.77,1730604,https://letterboxd.com/film/the-devil-wears-prada/
(500) Days of Summer,Marc Webb,"['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Geoffrey Arend']",3.66,1726729,https://letterboxd.com/film/500-days-of-summer/
Star Wars: The Last Jedi,Rian Johnson,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver']",2.98,1716065,https://letterboxd.com/film/star-wars-the-last-jedi/
Iron Man 2,Jon Favreau,"['Robert Downey Jr.', 'Mickey Rourke', 'Don Cheadle']",2.86,1707162,https://letterboxd.com/film/iron-man-2/
Doctor Strange in the Multiverse of Madness,Sam Raimi,"['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor']",2.96,1706868,https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/
Thor,Kenneth Branagh,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",2.78,1703948,https://letterboxd.com/film/thor/
Iron Man 3,Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",3.0,1690218,https://letterboxd.com/film/iron-man-3/
Suicide Squad,David Ayer,"['Will Smith', 'Jared Leto', 'Margot Robbie']",2.04,1688270,https://letterboxd.com/film/suicide-squad-2016/
Star Wars: Episode III – Revenge of the Sith,George Lucas,"['Hayden Christensen', 'Ewan McGregor', 'Natalie Portman']",3.79,1687956,https://letterboxd.com/film/star-wars-episode-iii-revenge-of-the-sith/
The Martian,Ridley Scott,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig']",3.74,1683298,https://letterboxd.com/film/the-martian/
The Amazing Spider-Man,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",3.28,1679398,https://letterboxd.com/film/the-amazing-spider-man/
Captain Marvel,"Ryan Fleck, Anna Boden","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn']",2.71,1672557,https://letterboxd.com/film/captain-marvel/
Superbad,Greg Mottola,"['Jonah Hill', 'Michael Cera', 'Christopher Mintz-Plasse']",3.88,1670345,https://letterboxd.com/film/superbad/
Howl's Moving Castle,Hayao Miyazaki,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",4.32,1657121,https://letterboxd.com/film/howls-moving-castle/
Donnie Darko,Richard Kelly,"['Jake Gyllenhaal', 'Jena Malone', 'James Duval']",3.97,1653989,https://letterboxd.com/film/donnie-darko/
Drive,Nicolas Winding Refn,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston']",3.94,1651404,https://letterboxd.com/film/drive-2011/
The Nightmare Before Christmas,Henry Selick,"['Danny Elfman', 'Chris Sarandon', '""Catherine OHara""']",3.95,1646049,https://letterboxd.com/film/the-nightmare-before-christmas/
Incredibles 2,Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",3.44,1642352,https://letterboxd.com/film/incredibles-2/
Star Wars: Episode I – The Phantom Menace,George Lucas,"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman']",2.87,1628632,https://letterboxd.com/film/star-wars-episode-i-the-phantom-menace/
Nope,Jordan Peele,"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea']",3.73,1619652,https://letterboxd.com/film/nope/
1917,Sam Mendes,"['George MacKay', 'Dean-Charles Chapman', 'Mark Strong']",4.1,1615946,https://letterboxd.com/film/1917/
Moana,"Ron Clements, John Musker","['""Aulii Cravalho""', 'Dwayne Johnson', 'Rachel House']",3.71,1601444,https://letterboxd.com/film/moana-2016/
