Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
The Batman,Matt Reeves,3.98,2777959,https://a.ltrbxd.com/resized/film-poster/3/4/8/9/1/4/348914-the-batman-0-1000-0-1500-crop.jpg?v=ec12a8b7ce,Robert Pattinson,Zoë Kravitz,Paul Dano
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,4.36,2348623,https://a.ltrbxd.com/resized/sm/upload/3t/vq/0u/m6/1tX9ZlgVvWjAQhMs1vAfsYpi7VK-0-1000-0-1500-crop.jpg?v=30bbb824e1,Elijah Wood,Ian McKellen,Viggo Mortensen
Mamma Mia!,Phyllida Lloyd,3.74,1373714,https://a.ltrbxd.com/resized/sm/upload/10/5l/wu/jl/gOm2iMMbC6EonrFzmSQ8xvCa4Ei.jpg-0-1000-0-1500-crop.jpg?v=e49de6f770,Meryl Streep,Pierce Brosnan,Colin Firth
Blade Runner,Ridley Scott,4.1,1350083,https://a.ltrbxd.com/resized/sm/upload/85/io/38/dz/vfzE3pjE5G7G7kcZWrA3fnbZo7V-0-1000-0-1500-crop.jpg?v=0d5de70f0d,Harrison Ford,Rutger Hauer,Sean Young
Arrival,Denis Villeneuve,4.12,2022713,https://a.ltrbxd.com/resized/sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-1000-0-1500-crop.jpg?v=0fc28fdf2c,Amy Adams,Jeremy Renner,Forest Whitaker
Kill Bill: Vol. 1,Quentin Tarantino,4.19,2248050,https://a.ltrbxd.com/resized/sm/upload/sw/w2/ep/v4/9O50TVszkz0dcP5g6Ej33UhR7vw-0-1000-0-1500-crop.jpg?v=5a65f5202f,Uma Thurman,Lucy Liu,Vivica A. Fox
La Haine,Mathieu Kassovitz,4.51,567035,https://a.ltrbxd.com/resized/film-poster/5/1/6/8/4/51684-la-haine-0-1000-0-1500-crop.jpg?v=b6677cc136,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui
Star Wars: Episode III – Revenge of the Sith,George Lucas,3.79,1687939,https://a.ltrbxd.com/resized/film-poster/5/0/7/0/9/50709-star-wars-episode-iii-revenge-of-the-sith-0-1000-0-1500-crop.jpg?v=cdb8caab10,Hayden Christensen,Ewan McGregor,Natalie Portman
Midsommar,Ari Aster,3.78,2752798,https://a.ltrbxd.com/resized/film-poster/4/5/9/5/6/4/459564-midsommar-0-1000-0-1500-crop.jpg?v=ed7b8ded1f,Florence Pugh,Jack Reynor,William Jackson Harper
Dune: Part Two,Denis Villeneuve,4.51,1347669,https://a.ltrbxd.com/resized/film-poster/6/1/7/4/4/3/617443-dune-part-two-0-1000-0-1500-crop.jpg?v=cc533700f8,Timothée Chalamet,Zendaya,Rebecca Ferguson
Gone Girl,David Fincher,4.07,2549866,https://a.ltrbxd.com/resized/film-poster/1/4/9/8/5/7/149857-gone-girl-0-1000-0-1500-crop.jpg?v=09a7c91f68,Ben Affleck,Rosamund Pike,Neil Patrick Harris
The Thing,John Carpenter,4.35,904703,https://a.ltrbxd.com/resized/sm/upload/t3/qn/vs/p5/s5fH3GqFcHbi2F0NSBSh4KRNTc0-0-1000-0-1500-crop.jpg?v=01880125bb,Kurt Russell,Keith David,Wilford Brimley
Princess Mononoke,Hayao Miyazaki,4.37,1173168,https://a.ltrbxd.com/resized/sm/upload/fu/5h/fp/mj/mNqZOtJIQfFQPjo3hmYLIn8Qqhf-0-1000-0-1500-crop.jpg?v=aae03975f7,Youji Matsuda,Yuriko Ishida,Yûko Tanaka
In the Mood for Love,Wong Kar-wai,4.4,640638,https://a.ltrbxd.com/resized/sm/upload/g1/7l/2j/qk/tSRdvZY1waXrTeMqeLBmq9IRs08-0-1000-0-1500-crop.jpg?v=938633fc19,Tony Leung Chiu-wai,Maggie Cheung,Rebecca Pan
About Time,Richard Curtis,4.0,982902,https://a.ltrbxd.com/resized/sm/upload/uo/th/yf/uz/zSuh8dGwqpsWR7ccvYbfxbSZ37o-0-1000-0-1500-crop.jpg?v=7276b6e978,Domhnall Gleeson,Rachel McAdams,Bill Nighy
The Silence of the Lambs,Jonathan Demme,4.33,2259223,https://a.ltrbxd.com/resized/film-poster/5/1/7/8/2/51782-the-silence-of-the-lambs-0-1000-0-1500-crop.jpg?v=18d88bdff4,Jodie Foster,Anthony Hopkins,Scott Glenn
Jurassic Park,Steven Spielberg,4.11,2118079,https://a.ltrbxd.com/resized/sm/upload/1g/zz/ez/d8/yyCKYaW908ZbpexpnBJ3p8o87HA-0-1000-0-1500-crop.jpg?v=19a50874d0,Sam Neill,Laura Dern,Jeff Goldblum
Django Unchained,Quentin Tarantino,4.27,2503962,https://a.ltrbxd.com/resized/film-poster/5/2/5/1/6/52516-django-unchained-0-1000-0-1500-crop.jpg?v=f02aed63a3,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio
